type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,2460359,Miguel-Angel  Sicilia and Xavier  Ochoa and Giannis  Stoitsis and Joris  Klerkx,,,,"Learning Object Analytics for Collections, Repositories &#38; Federations",285--286,,2,"analytics, learning repositories, metadata, social data",10.1145/2460296.2460359,,,,,,,2013,,Proceedings of the Third International Conference on Learning Analytics and Knowledge,LAK '13,,978-1-4503-1785-6,"Leuven, Belgium",ACM,"New York, NY, USA"
article,2479849,Victor  de Boer and Johan  van Doornik and Lars  Buitinck and Maarten  Marx and Tim  Veken and Kees  Ribbens,,,,Linking the Kingdom: Enriched Access to a Historiographical Text,17--24,,8,"digital history, digital humanities, linked data",10.1145/2479832.2479849,,,,,,,2013,,Proceedings of the Seventh International Conference on Knowledge Capture,K-CAP '13,,978-1-4503-2102-0,"Banff, Canada",ACM,"New York, NY, USA"
article,3106387,Katy  B&#246;rner and Elizabeth  Record,,,,Macroscopes for Making Sense of Science,64:1--64:2,64,2,"data set, data visualization, macroscope",10.1145/3093338.3106387,,,,,,,2017,,"Proceedings of the Practice and Experience in Advanced Research Computing 2017 on Sustainability, Success and Impact",PEARC17,,978-1-4503-5272-7,"New Orleans, LA, USA",ACM,"New York, NY, USA"
article,2132212,Morgan  Daniels and Ixchel  Faniel and Kathleen  Fear and Elizabeth  Yakel,,,,Managing Fixity and Fluidity in Data Repositories,279--286,,8,"data curation, data repositories, data reuse, digital preservation",10.1145/2132176.2132212,,,,,,,2012,,Proceedings of the 2012 iConference,iConference '12,,978-1-4503-0782-6,"Toronto, Ontario, Canada",ACM,"New York, NY, USA"
article,2857206,Rhiannon S. Bettivia,,,,Mapping Significance Properties in OAIS: A Case Study with Video Games: Extended Poster Abstract,136:1--136:4,136,4,,,,,,,,,2015,,Proceedings of the 78th ASIS&T Annual Meeting: Information Science with Impact: Research in and for the Community,ASIST '15,,0-87715-547-X,"St. Louis, Missouri",American Society for Information Science,"Silver Springs, MD, USA"
article,544347,Fausto  Marincioni and Frances  Lightsom,,,,Marine Realms Information Bank: A Distributed Geolibrary for the Ocean,399--399,,1,"coastal and marine environments, distributed geolibraries, public education and public discourse",10.1145/544220.544347,,,,,,,2002,,Proceedings of the 2Nd ACM/IEEE-CS Joint Conference on Digital Libraries,JCDL '02,,1-58113-513-0,"Portland, Oregon, USA",ACM,"New York, NY, USA"
article,1920488,Matthew S. Mayernik,,,,Metadata Tensions: A Case Study of Library Principles vs. Everyday Scientific Data Practices,116:1--116:2,116,2,"cataloging, data management, metadata, scientific data",,,,,,,,2010,,Proceedings of the 73rd ASIS&T Annual Meeting on Navigating Streams in an Information Ecosystem - Volume 47,ASIS&#38;T '10,,,"Pittsburgh, Pennsylvania",American Society for Information Science,"Silver Springs, MD, USA"
article,2132213,Tanya  Clement,,,,Methodologies in the Digital Humanities for Analyzing Aural Patterns in Texts,287--293,,7,"design research, digital humanities, iSchools, interdisciplinarity, knowledge representation",10.1145/2132176.2132213,,,,,,,2012,,Proceedings of the 2012 iConference,iConference '12,,978-1-4503-0782-6,"Toronto, Ontario, Canada",ACM,"New York, NY, USA"
article,2556244,Giovanni  Quattrone and Afra  Mashhadi and Daniele  Quercia and Chris  Smith-Clarke and Licia  Capra,,,,Modelling Growth of Urban Crowd-sourced Information,563--572,,10,"cellular automata, crowd-sourcing, modelling",10.1145/2556195.2556244,,,,,,,2014,,Proceedings of the 7th ACM International Conference on Web Search and Data Mining,WSDM '14,,978-1-4503-2351-2,"New York, New York, USA",ACM,"New York, NY, USA"
article,2181063,Andrew  Whitworth and Fred  Garnett,,,,"MOSI-ALONG: Social Media, the Museum and the Community",161--164,,4,"crowdsourcing, informal learning, museums, non-formal learning, social media, user-centred design",10.1145/2181037.2181063,,,,,,,2011,,Proceedings of the 15th International Academic MindTrek Conference: Envisioning Future Media Environments,MindTrek '11,,978-1-4503-0816-8,"Tampere, Finland",ACM,"New York, NY, USA"
article,3203878,Timothy  Kanke,,,,Preliminary Exploration of Knowledge Curation Activities in Wikidata WikiProjects,349--350,,2,"curation, online curation communities, wikidata",10.1145/3197026.3203878,,,,,,,2018,,Proceedings of the 18th ACM/IEEE on Joint Conference on Digital Libraries,JCDL '18,,978-1-4503-5178-2,"Fort Worth, Texas, USA",ACM,"New York, NY, USA"
article,1643898,Yannis  Marketakis and Makis  Tzanakis and Yannis  Tzitzikas,,,,PreScan: Towards Automating the Preservation of Digital Objects,60:404--60:411,60,8,,10.1145/1643823.1643898,,,,,,,2009,,Proceedings of the International Conference on Management of Emergent Digital EcoSystems,MEDES '09,,978-1-60558-829-2,France,ACM,"New York, NY, USA"
article,3022765,Anjali  Joshi,,,,Primum Non Nocere: Healthcare In The Digital Age,579--579,,1,"healthcare, web search",10.1145/3018661.3022765,,,,,,,2017,,Proceedings of the Tenth ACM International Conference on Web Search and Data Mining,WSDM '17,,978-1-4503-4675-7,"Cambridge, United Kingdom",ACM,"New York, NY, USA"
article,2188003,Elaheh  Momeni,,,,Semi-automatic Semantic Moderation of Web Annotations,167--172,,6,"annotation system, semantic moderation system, semantic web, social web annotation",10.1145/2187980.2188003,,,,,,,2012,,Proceedings of the 21st International Conference on World Wide Web,WWW '12 Companion,,978-1-4503-1230-1,"Lyon, France",ACM,"New York, NY, USA"
article,2735549,Elena  Voyloshnikova and Margaret-Anne  Storey,,,,Towards Understanding Digital Information Discovery and Curation,247--261,,15,,,,,,,,,2014,,Proceedings of 24th Annual International Conference on Computer Science and Software Engineering,CASCON '14,,,"Markham, Ontario, Canada",IBM Corp.,"Riverton, NJ, USA"
article,2421080,Glenda  Caldwell and Mark  Bilandzic and Marcus  Foth,,,,Towards Visualising People's Ecology of Hybrid Personal Learning Environments,13--22,,10,"ambient media, free-choice learning, informal learning, library studies, participatory design, personal learning environments, responsive architecture, urban informatics, visitor engagement",10.1145/2421076.2421080,,,,,,,2012,,Proceedings of the 4th Media Architecture Biennale Conference: Participation,MAB '12,,978-1-4503-1792-4,"Aarhus, Denmark",ACM,"New York, NY, USA"
article,1816126,David  Bamman and Alison  Babeu and Gregory  Crane,,,,Transferring Structural Markup Across Translations Using Multilingual Alignment and Projection,11--20,,10,"annotation projection, knowledge transfer, multilingual alignment",10.1145/1816123.1816126,,,,,,,2010,,Proceedings of the 10th Annual Joint Conference on Digital Libraries,JCDL '10,,978-1-4503-0085-8,"Gold Coast, Queensland, Australia",ACM,"New York, NY, USA"
article,1998175,Melissa H. Cragin and Tiffany C. Chao and Carole L. Palmer,,,,Units of Evidence for Analyzing Subdisciplinary Difference in Data Practice Studies,441--442,,2,"data curation, data practices, methods, small science",10.1145/1998076.1998175,,,,,,,2011,,Proceedings of the 11th Annual International ACM/IEEE Joint Conference on Digital Libraries,JCDL '11,,978-1-4503-0744-4,"Ottawa, Ontario, Canada",ACM,"New York, NY, USA"
article,2814881,Marco  Fossati and Dimitris  Kontokostas and Jens  Lehmann,,,,Unsupervised Learning of an Extensive and Usable Taxonomy for DBpedia,177--184,,8,"Wikipedia, graph algorithms, natural language processing, taxonomy learning",10.1145/2814864.2814881,,,,,,,2015,,Proceedings of the 11th International Conference on Semantic Systems,SEMANTICS '15,,978-1-4503-3462-4,"Vienna, Austria",ACM,"New York, NY, USA"
proceeding,2107636,,,,Conference Chair-Kalliopi  Zervanou and Conference Chair-Piroska  Lendvai,,,,,,,,,,,,,2011,,"Proceedings of the 5th ACL-HLT Workshop on Language Technology for Cultural Heritage, Social Sciences, and Humanities",,,9781937284046,"Portland, Oregon",Association for Computational Linguistics,"Stroudsburg, PA, USA"
